種別,判定,事業者,発電所,コード,ユニット名,容量MW,実績終了日,メモ
停止情報のみ,要確認,ＪＦＥスチール株式会社,ＪＦＥスチール株式会社 東日本製鉄所(京浜地区)扇島火力発電所,32055,扇島火力発電所3号機,142,,
停止情報のみ,要確認,ＪＦＥスチール株式会社,ＪＦＥスチール株式会社 東日本製鉄所(京浜地区)扇島火力発電所,32055,扇島火力発電所2号機,142,,
停止情報のみ,廃止,株式会社JERA,知多火力発電所,44143,知多5号,700,,2025-09-30
停止情報のみ,要確認,電源開発,電源開発松島火力発電所,950AA,1号機,500,,
停止情報のみ,廃止,株式会社JERA,広野火力発電所,GB563,広野1号,600,,
停止情報のみ,廃止,株式会社JERA,広野火力発電所,GB563,広野3号,1000,,
停止情報のみ,廃止,株式会社JERA,広野火力発電所,GB563,広野4号,1000,,
停止情報のみ,廃止,中国電力株式会社,下関発電所第,71137,2号機,400,,2024-01-31
停止情報のみ,廃止,中国電力株式会社,下関発電所第,71140,1号機,175,,2024-01-31
停止情報のみ,要確認,東北電力株式会社,東北電力東新潟火力発電所港,2W403,港2号機,350,,
停止情報のみ,要確認,東北電力株式会社,東北電力東新潟火力発電所港,2W402,港1号機,350,,
停止情報のみ,要確認,中国電力株式会社,水島発電所第,76413,2号機,156,,
停止情報のみ,要確認,中国電力株式会社,下松発電所第,72301,単独,700,,
停止情報のみ,廃止,株式会社JERA,横浜火力発電所,GB603,横浜6号,350,,2022-03-31
停止情報のみ,廃止,株式会社JERA,横浜火力発電所,GB603,横浜5号,175,,2022-03-31
停止情報のみ,要確認,宇部興産株式会社,宇部興産発電所,6038771132,6号機,216,,
停止情報のみ,要確認,四国電力(株),四国電力 西条発電所,80701,1号機,156,,
停止情報のみ,要確認,関西電力株式会社,御坊発電所,67C42,2号機,600,,
停止情報のみ,要確認,市原パワー株式会社,市原発電所,30559,単独,110,,
停止情報のみ,要確認,株式会社 東京ガスベイパワー,東京ガスベイパワー,6057730554,単独,102.9,,
停止情報のみ,要確認,九州電力株式会社,新小倉発電所,91061,4号機,600,,
停止情報のみ,要確認,ENEOS株式会社,大阪製油所,4009662F62,Ｇ2,149,,
停止情報のみ,要確認,東北電力株式会社,東北電力仙台火力発電所,2K218,4号機ＳＴ,0,,
停止情報のみ,要確認,東北電力株式会社,東北電力新仙台火力発電所,2K219,3－1号機ＳＴ,0,,
停止情報のみ,要確認,中国電力株式会社,岩国発電所第,74206,3号機,500,,
停止情報のみ,要確認,中国電力株式会社,岩国発電所第,74201,2号機,350,,
停止情報のみ,要確認,株式会社トクヤマ,徳山製造所,875,8号機,145,,
停止情報のみ,要確認,常磐共同火力株式会社,勿来発電所,6066332494,勿来10号機,250,,
停止情報のみ,要確認,東北電力株式会社,東北電力秋田火力発電所,2G101,2号機,350,,
停止情報のみ,要確認,東北電力株式会社,東北電力新仙台火力発電所,2K219,3－2号機ＳＴ,0,,
停止情報のみ,要確認,株式会社フロンティアエネルギー新潟,新潟発電所,60312,単独,110,,
停止情報のみ,要確認,電源開発,電源開発竹原火力発電所,75201,2号機,350,,
停止情報のみ,要確認,東北電力株式会社,東北電力秋田火力発電所,2G131,3号機,350,,
停止情報のみ,要確認,四国電力(株),四国電力 阿南発電所,80103,4号機,450,,
停止情報のみ,要確認,九州電力株式会社,豊前発電所,92061,1号機,500,,
停止情報のみ,要確認,JFEスチール株式会社,ＪＦＥスチール株式会社 東日本製鉄所(京浜地区)扇島火力発電所,32055,扇島火力発電所1号機,135,,
停止情報のみ,廃止,九州電力株式会社,川内発電所,98061,2号機,500,,2022-04-01
停止情報のみ,廃止,九州電力株式会社,川内発電所,98061,1号機,500,,2022-04-01
停止情報のみ,廃止,九州電力株式会社,相浦発電所,95063,2号機,500,,2019-04-30
停止情報のみ,廃止,九州電力株式会社,相浦発電所,95063,1号機,375,,2019-04-30
停止情報のみ,要確認,株式会社トクヤマ,徳山製造所,8648,8号機,145,,
停止情報のみ,要確認,東北電力株式会社,東北電力秋田火力発電所,2G133,5号機,333,,
停止情報のみ,要確認,株式会社トクヤマ,徳山製造所,8648,2号機,145,,
停止情報のみ,要確認,東北電力株式会社,東北電力新潟火力発電所,27421,4号機,250,,
停止情報のみ,要確認,株式会社中袖クリーンパワー,中袖クリーンパワー発電所,6107,単独,107.4,,
停止情報のみ,要確認,東日本旅客鉄道株式会社,川崎発電所,32469,1号機(旧),144.2,,
停止情報のみ,要確認,瀬戸内共同火力株式会社,福山共同発電所,76308,3号機,156.2,,
停止情報のみ,要確認,電源開発,電源開発竹原火力発電所,75200,1号機,250,,
停止情報のみ,要確認,九州電力株式会社,苅田発電所,91062,新2号機,375,,
停止情報のみ,要確認,四国電力(株),四国電力 阿南発電所,80101,2号機,220,,
停止情報のみ,要確認,四国電力(株),四国電力 阿南発電所,80104,1号機,125,,
停止情報のみ,要確認,関西電力株式会社,宮津発電所,63D44,2号機,375,,
停止情報のみ,要確認,関西電力株式会社,宮津発電所,63D43,1号機,375,,
実績早期終了,要確認,明海発電株式会社,豊橋発電所,47138,単独,147,2024-10-02,火力で長期途絶（廃止の可能性）
実績早期終了,要確認,出光興産株式会社,出光愛知第3発電所,4019445121,単独,225.6,2024-10-09,火力で長期途絶（廃止の可能性）
実績早期終了,廃止,関西電力株式会社,南港発電所,62A46,1号機,600,2025-03-26,南港1号・2025/03廃止
実績早期終了,廃止,関西電力株式会社,南港発電所,62A47,2号機,600,2025-03-26,南港2号・2025/03廃止
実績早期終了,廃止,関西電力株式会社,南港発電所,62A48,3号機,600,2025-03-27,南港3号・2025/03廃止
実績早期終了,要確認,関西電力株式会社,大河内発電所,63D03,1号機,320,2025-04-07,揚水の長期アイドルの可能性（廃止でない見込み）
実績早期終了,要確認,土佐発電株式会社,土佐発電所,81562,単独,167,2025-07-21,火力で長期途絶（廃止の可能性）
実績早期終了,要確認,関西電力株式会社,赤穂発電所,68H41,1号機,600,2025-07-31,火力で長期途絶（廃止の可能性）
実績早期終了,要確認,関西電力株式会社,赤穂発電所,68H42,2号機,600,2025-07-31,火力で長期途絶（廃止の可能性）
実績早期終了,廃止,株式会社JERA,広野火力発電所,34086,広野2号,600,2025-10-08,広野2号・2025/09/30廃止
実績早期終了,廃止,株式会社JERA,袖ケ浦火力発電所,34024,袖ケ浦1号,600,2025-10-08,袖ケ浦1号・2025廃止
実績早期終了,廃止,株式会社JERA,姉崎火力発電所,34022,姉崎5号,600,2025-10-08,姉崎5号・2025廃止
実績早期終了,廃止,株式会社JERA,姉崎火力発電所,34023,姉崎6号,600,2025-10-08,姉崎6号・2025廃止
実績早期終了,廃止,東北電力株式会社,東北電力秋田火力発電所,2G132,4号機,600,2025-10-26,秋田火力4号・2025廃止
実績早期終了,要確認,関西電力株式会社,高浜発電所,63D52,2号機,826,2026-01-23,直近停止/データ遅れの可能性
実績早期終了,要確認,株式会社JERA,知多火力発電所,44145,知多6号,854,2026-03-24,直近停止/データ遅れの可能性
実績早期終了,要確認,関西電力株式会社,御坊発電所,67C43,3号機,600,2026-03-25,直近停止/データ遅れの可能性
実績早期終了,要確認,九州電力株式会社,豊前発電所,92061,2号機,500,2026-03-30,直近停止/データ遅れの可能性
実績早期終了,要確認,電源開発,電源開発松島火力発電所,950AA,2号機,500,2026-03-30,直近停止/データ遅れの可能性
実績早期終了,要確認,関西電力株式会社,奥多々良木発電所,68E00,4号機,303,2026-04-01,揚水の長期アイドルの可能性（廃止でない見込み）
実績早期終了,要確認,関西電力株式会社,高浜発電所,63D53,3号機,870,2026-04-07,直近停止/データ遅れの可能性
