発電所コード,ユニット名
34023,姉崎6号
34022,姉崎5号
34024,袖ケ浦1号
34086,広野2号
62A48,3号機
62A47,2号機
62A46,1号機
2G132,4号機
GB623,鹿島6号
GB623,鹿島5号
GB623,鹿島4号
GB623,鹿島3号
GB623,鹿島2号
GB623,鹿島1号
68A43,3号機
68A41,1号機
46121,4号機
46120,3号機
GB683,大井3号
46119,2号機
GB683,大井2号
GB683,大井1号
46001,1号機
GB653,姉崎4号
GB653,姉崎3号
GB653,姉崎2号
GB653,姉崎1号
68C47,既設5号機
68C48,既設6号機
62B41,1号機
62B42,2号機
2J101,女川原子力発電所1号機
63F52,2号機
63F51,1号機
67D44,4号機
67D41,1号機
67D42,2号機
67D43,3号機
42288,3号機
68A42,2号機
42002,3号機
47002,1号機
42287,2号機
42103,1号機
42002,1号機
95001,2号機
30102,福島第二4号機
30102,福島第二3号機
30102,福島第二1号機
30102,福島第二2号機
81802,2号機
GB663,五井6号
GB663,五井5号
GB663,五井4号
GB663,五井3号
GB663,五井2号
GB663,五井1号
